graduate_id,name,age,gender,degree,graduation_year,employed,company,salary,months_to_employment,skill
1,Michael Fuentes,31,Male,Computer Science,2023,True,Deloitte,22199.0,4.0,Java
2,Kristen Johnson,22,Female,Data Science,2024,False,,,,Cloud Computing
3,Alyssa Murray,33,Male,Law,2025,True,Vodacom,58382.0,5.0,Machine Learning
4,Jessica Miller,33,Male,Computer Science,2025,True,Accenture,30437.0,3.0,SQL
5,Christina Moore,23,Male,Marketing,2025,True,Deloitte,24285.0,3.0,PowerBI
6,Curtis Phillips,25,Male,Information Systems,2025,True,Takealot,28602.0,11.0,SQL
7,Amanda Myers,21,Male,Information Systems,2023,True,Accenture,34811.0,4.0,Python
8,Kara Gibson,25,Male,Information Systems,2024,False,,,,Cloud Computing
9,Elizabeth Hicks,26,Male,Information Systems,2024,True,Vodacom,35608.0,8.0,Excel
10,Jermaine Soto,35,Male,Education,2024,True,Takealot,15189.0,3.0,Excel
11,Jesse Bush,33,Female,Civil Engineering,2025,True,Vodacom,54905.0,12.0,Excel
12,Kevin Castro,23,Female,Information Systems,2023,True,Shoprite,49641.0,2.0,Excel
13,Jeanne Parker,22,Female,Marketing,2023,True,Discovery,38567.0,4.0,Python
14,Helen Kelley,21,Male,Education,2024,True,Capitec,48448.0,7.0,Python
15,Kelly Finley,27,Female,Education,2024,False,,,,Java
16,Frank Porter,34,Male,Civil Engineering,2024,True,Discovery,58238.0,8.0,Machine Learning
17,Shawn Clark,34,Male,Civil Engineering,2023,True,Deloitte,47427.0,7.0,Excel
18,Stephanie Love,35,Male,Marketing,2025,True,Accenture,21078.0,9.0,Python
19,William Allen,27,Female,Computer Science,2025,True,Capitec,52054.0,3.0,Python
20,Daniel Williams,33,Male,Information Systems,2024,True,Shoprite,48487.0,2.0,PowerBI
21,Mrs. Elizabeth Rogers,24,Female,Civil Engineering,2024,False,,,,Python
22,Antonio Smith MD,25,Female,Data Science,2023,False,,,,Communication
23,Pamela Martin,33,Male,Education,2025,False,,,,Cloud Computing
24,Tracy Zimmerman,33,Male,Data Science,2024,True,Takealot,48387.0,11.0,SQL
25,John Jackson,25,Female,Marketing,2023,True,Discovery,39370.0,10.0,Machine Learning
26,Catherine Smith,28,Male,Law,2023,False,,,,Excel
27,Chad Stanton,25,Female,Marketing,2024,True,Discovery,48131.0,10.0,Cloud Computing
28,Charles Reyes,29,Female,B Com Accounting,2024,False,,,,Communication
29,Jenna Little,33,Male,Data Science,2024,True,Deloitte,17214.0,3.0,SQL
30,Amy Brown,33,Female,Education,2024,False,,,,Cloud Computing
31,Darrell Yang,30,Male,Computer Science,2023,True,Deloitte,17547.0,1.0,Java
32,Jennifer Olsen,31,Female,B Com Accounting,2025,False,,,,Excel
33,Dustin Roach,25,Female,Marketing,2025,False,,,,Java
34,Scott Hodge,34,Female,Law,2024,False,,,,Communication
